year,expenseCategory
2023,Pension
2023,Defence
2023,Subsidy- Fertiliser
2023,Subsidy- Food
2023,Subsidy-  Petroleum
2023,Agriculture and Allied Activities
2023,Commerce and Industry
2023,Development of North East
2023,Education
2023,Energy
2023,External Affairs
2023,Finance
2023,Health
2023,Home Affairs
2023,Interest
2023,IT and Telecom
2023,Others
2023,Planning and Statistics
2023,Rural Development
2023,Scientific Departments
2023,Social Welfare
2023,Tax Administration
2023,Transfer to States
2023,Transport
2023,Union Territories
2023,Urban Development
